dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1
Cervical Cancer,GradientBoosting,0,naive,428,27,14.851851851851851,32,0.1111111111111111,0.5,0.3888888888888889,DKW Minimax,True,0.5714285714285714,0.5428101483418094,0.4782608695652174,0.25,0.6071428571428571,0.20505396407250004,0.2363468202165062,0.010494997498749376,0.04897573786893447,False,False
Cervical Cancer,GradientBoosting,0,split,150,9,14.851851851851851,32,0.08333333333333333,0.5,0.4166666666666667,Baseline,True,0.5,0.1855768722395226,0.06666666666666667,0.03571428571428571,0.9642857142857143,,,,,,
Cervical Cancer,GradientBoosting,0,split,150,9,14.851851851851851,32,0.08333333333333333,0.5,0.4166666666666667,Threshold,True,0.5357142857142857,0.39929785312496247,0.2777777777777778,0.10714285714285714,0.8214285714285714,,,,,,
Cervical Cancer,GradientBoosting,0,split,150,9,14.851851851851851,32,0.08333333333333333,0.5,0.4166666666666667,SMOTE,True,0.5178571428571429,0.2624453295839119,0.12903225806451613,0.03571428571428571,0.9285714285714286,,,,,,
Cervical Cancer,GradientBoosting,0,split,150,9,14.851851851851851,32,0.08333333333333333,0.5,0.4166666666666667,Balanced Weights,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,0,split,150,9,14.851851851851851,32,0.08333333333333333,0.5,0.4166666666666667,Slacks Deltas,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,0,split,150,9,14.851851851851851,32,0.08333333333333333,0.5,0.4166666666666667,Min Deltas,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,0,split,150,9,14.851851851851851,32,0.08333333333333333,0.5,0.4166666666666667,F Deltas,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,0,split,150,9,14.851851851851851,32,0.08333333333333333,0.5,0.4166666666666667,CP Sum,True,0.5178571428571429,0.18898223650461363,0.0689655172413793,0.0,0.9642857142857143,0.06792444113571348,1.0,0.006996748374187095,0.0005,True,True
Cervical Cancer,GradientBoosting,0,split,150,9,14.851851851851851,32,0.08333333333333333,0.5,0.4166666666666667,CP Minimax,True,0.4642857142857143,0.42857142857142855,0.5454545454545454,0.7142857142857143,0.35714285714285715,0.7464843096551068,0.6362629764009851,0.03548249124562282,0.1414294647323662,True,True
Cervical Cancer,GradientBoosting,0,split,150,9,14.851851851851851,32,0.08333333333333333,0.5,0.4166666666666667,DKW Sum,True,0.5178571428571429,0.18898223650461363,0.0689655172413793,0.0,0.9642857142857143,0.12064954386761441,1.0,0.016491995997999002,0.0005,True,True
Cervical Cancer,GradientBoosting,0,split,150,9,14.851851851851851,32,0.08333333333333333,0.5,0.4166666666666667,DKW Minimax,True,0.48214285714285715,0.45456864504849487,0.5538461538461539,0.6785714285714286,0.35714285714285715,0.6907225287754408,0.6314744928544731,0.05297373686843422,0.20189919959979993,True,True
Cervical Cancer,GradientBoosting,1,naive,428,27,14.851851851851851,32,0.2037037037037037,0.5,0.2962962962962963,Baseline,True,0.5,0.0,0.0,0.0,1.0,,,,,,
Cervical Cancer,GradientBoosting,1,naive,428,27,14.851851851851851,32,0.2037037037037037,0.5,0.2962962962962963,Threshold,True,0.5178571428571429,0.18898223650461363,0.0689655172413793,0.0,0.9642857142857143,,,,,,
Cervical Cancer,GradientBoosting,1,naive,428,27,14.851851851851851,32,0.2037037037037037,0.5,0.2962962962962963,SMOTE,True,0.5,0.0,0.0,0.0,1.0,,,,,,
Cervical Cancer,GradientBoosting,1,naive,428,27,14.851851851851851,32,0.2037037037037037,0.5,0.2962962962962963,Balanced Weights,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,1,naive,428,27,14.851851851851851,32,0.2037037037037037,0.5,0.2962962962962963,Slacks Deltas,True,0.5357142857142857,0.3642156795423418,0.23529411764705882,0.07142857142857142,0.8571428571428571,,,,,,
Cervical Cancer,GradientBoosting,1,naive,428,27,14.851851851851851,32,0.2037037037037037,0.5,0.2962962962962963,Min Deltas,True,0.5535714285714286,0.40720550896397784,0.2857142857142857,0.07142857142857142,0.8214285714285714,,,,,,
Cervical Cancer,GradientBoosting,1,naive,428,27,14.851851851851851,32,0.2037037037037037,0.5,0.2962962962962963,F Deltas,True,0.5357142857142857,0.32142857142857145,0.1875,0.03571428571428571,0.8928571428571429,,,,,,
Cervical Cancer,GradientBoosting,1,naive,428,27,14.851851851851851,32,0.2037037037037037,0.5,0.2962962962962963,CP Sum,True,0.5178571428571429,0.18898223650461363,0.0689655172413793,0.0,0.9642857142857143,0.0597973634485312,0.21891486438860197,0.003498499249624813,0.03548249124562282,True,False
Cervical Cancer,GradientBoosting,1,naive,428,27,14.851851851851851,32,0.2037037037037037,0.5,0.2962962962962963,CP Minimax,True,0.5357142857142857,0.3642156795423418,0.23529411764705882,0.07142857142857142,0.8571428571428571,0.12197812750189284,0.21891486438860197,0.00449799899949975,0.03548249124562282,True,False
Cervical Cancer,GradientBoosting,1,naive,428,27,14.851851851851851,32,0.2037037037037037,0.5,0.2962962962962963,DKW Sum,True,0.5178571428571429,0.18898223650461363,0.0689655172413793,0.0,0.9642857142857143,0.09160506814603094,0.2363468202165062,0.00899574787393697,0.04897573786893447,True,False
Cervical Cancer,GradientBoosting,1,naive,428,27,14.851851851851851,32,0.2037037037037037,0.5,0.2962962962962963,DKW Minimax,True,0.5357142857142857,0.3642156795423418,0.23529411764705882,0.07142857142857142,0.8571428571428571,0.13854555206703517,0.2363468202165062,0.009495497748874438,0.04897573786893447,True,False
Cervical Cancer,GradientBoosting,1,split,150,9,14.851851851851851,32,0.05555555555555555,0.4642857142857143,0.4087301587301587,Baseline,True,0.5357142857142857,0.26726124191242434,0.13333333333333333,0.0,0.9285714285714286,,,,,,
