dataset,model,seed,mode,method,optimism,n_cert,n_cert_minority,test_per_class,cls,covered,U,delta,nominal
Abalone Gender,GradientBoosting,1,split,CP Sum,0.3680013890372903,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,1,split,CP Minimax,0.3680013890372903,294,27,764,0,1.0,0.7188438958742367,0.022988744372186,0.977011255627814
Abalone Gender,GradientBoosting,1,split,DKW Sum,0.3680013890372903,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,GradientBoosting,1,split,DKW Minimax,0.3680013890372903,294,27,764,0,1.0,0.6675959033819103,0.0339832416208104,0.9660167583791897
Abalone Gender,GradientBoosting,2,naive,CP Sum,0.2769702397354643,840,76,764,0,0.0,0.078657299087538,0.0024989994997498,0.9975010005002501
Abalone Gender,GradientBoosting,2,naive,CP Minimax,0.2769702397354643,840,76,764,0,0.0,0.0973330405332899,0.0029987493746873,0.9970012506253128
Abalone Gender,GradientBoosting,2,naive,DKW Sum,0.2769702397354643,840,76,764,0,0.0,0.0761905297040046,0.0059972486243121,0.9940027513756879
Abalone Gender,GradientBoosting,2,naive,DKW Minimax,0.2769702397354643,840,76,764,0,0.0,0.1280921523840048,0.0064969984992496,0.9935030015007504
Abalone Gender,GradientBoosting,2,split,CP Sum,0.3927235815792285,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,2,split,CP Minimax,0.3927235815792285,294,27,764,0,1.0,0.6537076808529065,0.0199902451225612,0.9800097548774388
Abalone Gender,GradientBoosting,2,split,DKW Sum,0.3927235815792285,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,GradientBoosting,2,split,DKW Minimax,0.3927235815792285,294,27,764,0,1.0,0.6132661260855669,0.0289857428714357,0.9710142571285643
Abalone Gender,GradientBoosting,3,naive,CP Sum,0.2361876550013777,840,76,764,0,0.0,0.1057543228015276,0.0029987493746873,0.9970012506253128
Abalone Gender,GradientBoosting,3,naive,CP Minimax,0.2361876550013777,840,76,764,0,0.0,0.1090865019441515,0.0029987493746873,0.9970012506253128
