dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,reason,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1,seconds
MIMIC-III Mortality,GradientBoosting,1,naive,3648,331,10.021148036253777,19,0.37613293051359514,0.46696035242290745,0.09082742190931231,F Deltas,True,,0.6145374449339207,0.5482988994425285,0.46646341463414637,0.10792951541850221,0.6629955947136564,,,,,,,0.038
MIMIC-III Mortality,GradientBoosting,1,naive,3648,331,10.021148036253777,19,0.37613293051359514,0.46696035242290745,0.09082742190931231,CP Sum,True,,0.6409691629955947,0.6198983013488703,0.5710526315789474,0.1960352422907489,0.5220264317180616,0.20341497282033832,0.34887635642302794,0.0019992496248124065,0.009495497748874438,True,False,0.411
MIMIC-III Mortality,GradientBoosting,1,naive,3648,331,10.021148036253777,19,0.37613293051359514,0.46696035242290745,0.09082742190931231,CP Minimax,True,,0.6486784140969163,0.6428171733674047,0.6151990349819059,0.2643171806167401,0.43832599118942733,0.29146163920640644,0.28899405512174287,0.002498999499749875,0.008495997998999501,True,False,0.404
MIMIC-III Mortality,GradientBoosting,1,naive,3648,331,10.021148036253777,19,0.37613293051359514,0.46696035242290745,0.09082742190931231,DKW Sum,True,,0.6409691629955947,0.6198983013488703,0.5710526315789474,0.1960352422907489,0.5220264317180616,0.19962581438100752,0.32535942969556375,0.002998749374687344,0.01349349674837419,True,False,0.119
MIMIC-III Mortality,GradientBoosting,1,naive,3648,331,10.021148036253777,19,0.37613293051359514,0.46696035242290745,0.09082742190931231,DKW Minimax,True,,0.6497797356828194,0.6434734673659988,0.6150121065375302,0.2599118942731278,0.44052863436123346,0.28123240927991316,0.27169633057073783,0.003498499249624813,0.012493996998499252,True,False,0.119
MIMIC-III Mortality,GradientBoosting,1,split,1277,116,10.021148036253777,19,0.34906912024852227,0.4658590308370044,0.11678991058848215,Baseline,True,,0.5341409691629956,0.2727544699419143,0.1384928716904277,0.006607929515418502,0.9251101321585903,,,,,,,
MIMIC-III Mortality,GradientBoosting,1,split,1277,116,10.021148036253777,19,0.34906912024852227,0.4658590308370044,0.11678991058848215,Threshold,True,,0.5980176211453745,0.5090250706406367,0.41412520064205455,0.0881057268722467,0.7158590308370044,,,,,,,
MIMIC-III Mortality,GradientBoosting,1,split,1277,116,10.021148036253777,19,0.34906912024852227,0.4658590308370044,0.11678991058848215,SMOTE,True,,0.551762114537445,0.38711414579410075,0.2613430127041742,0.05506607929515418,0.8414096916299559,,,,,,,
MIMIC-III Mortality,GradientBoosting,1,split,1277,116,10.021148036253777,19,0.34906912024852227,0.4658590308370044,0.11678991058848215,Balanced Weights,False,,,,,,,,,,,,,
MIMIC-III Mortality,GradientBoosting,1,split,1277,116,10.021148036253777,19,0.34906912024852227,0.4658590308370044,0.11678991058848215,Slacks Deltas,False,,,,,,,,,,,,,7.11
MIMIC-III Mortality,GradientBoosting,1,split,1277,116,10.021148036253777,19,0.34906912024852227,0.4658590308370044,0.11678991058848215,Min Deltas,False,,,,,,,,,,,,,0.0
MIMIC-III Mortality,GradientBoosting,1,split,1277,116,10.021148036253777,19,0.34906912024852227,0.4658590308370044,0.11678991058848215,F Deltas,False,,,,,,,,,,,,,0.0
MIMIC-III Mortality,GradientBoosting,1,split,1277,116,10.021148036253777,19,0.34906912024852227,0.4658590308370044,0.11678991058848215,CP Sum,True,,0.6189427312775331,0.5723143482814756,0.5014409221902018,0.14537444933920704,0.6167400881057269,0.21620000947108028,0.7134415960142431,0.003498499249624813,0.03698174087043522,True,True,1.445
